MKZ;Messstellenname;Messstellenart;Ostwert;Nordwert;Messpunkthöhe;Filteroberkante;Filteroberkante (m unter Gelände);Filterunterkante;Filterunterkante (m unter Gelände);Ausbausohle;Geländehöhe;Höhensystem;Beobachtungsbeginn;Beobachtungsende;Analysenbeginn;Analyseende;Grundwasserleiterkomplex;Datenlogger;Grundwasserkörper;Kreis;Datenart;WRRL;WRRL;GEOMETRY;X_EPSG25833;Y_EPSG25833
46401403;Leipzig, Geo004b/4d, B 1/87;Grundwasserbeobachtungsrohr;317792.72;5690033.59;114.52;104.62;9.19;101.32;12.49;100.32;113.81;DHHN2016;1986;;;;;;DESN_SAL-GW-052;Kreisfreie Stadt Leipzig;WS;N;nein;POINT (317792.719856398 5690033.59032895);317792.7199;5690033.59
46401509;Leipzig, Paunsdorf, B 9a/83;Grundwasserbeobachtungsrohr;323594.7541;5691755.335;129.3;123.6;5;121.6;7;120.6;128.6;NN;1982;;;;;;DESN_SAL-GW-052;Kreisfreie Stadt Leipzig;WS;N;nein;POINT (323595.244921619 5691754.99102718);323595.2449;5691754.991
46401517_2;Leipzig, Heiterblick, NA6/2/94;Messstellenbündel;322563.15;5692755.02;129.56;115.35;13.11;97.85;30.61;96.85;128.46;DHHN2016;1994;;1994;2002;;;DESN_SAL-GW-052;Kreisfreie Stadt Leipzig;WS;J;ja;POINT (322563.149880265 5692755.02032971);322563.1499;5692755.02
46401518;Leipzig, Sellerhausen-Stünz, NA3/94;Grundwasserbeobachtungsrohr;321411.5942;5692107.903;125.2;116.5;8.9;104.7;20.7;103.4;125.4;HN;;;1994;;Saale 1-Kaltzeit;;DESN_SAL-GW-052;Kreisfreie Stadt Leipzig;WS;J;ja;POINT (321412.054131789 5692107.55901676);321412.0541;5692107.559
46402234_1;Leipzig, Wiederitzsch, 554, B 2234/82;Messstellenbündel;317154.0453;5696818.684;121.97;95.6;25;93.6;27;90.6;120.6;NN;1988;;2010;;;;DESN_SAL-GW-052;Kreisfreie Stadt Leipzig;WS;N;nein;POINT (317154.496037835 5696818.35550765);317154.496;5696818.356
46402234_2;Leipzig, Wiederitzsch, 555, B 2234/82;Messstellenbündel;317154.0453;5696818.684;121.91;60.67;59.93;56.67;63.93;54.2;120.6;NN;1988;;;;;;DESN_SAL-GW-052;Kreisfreie Stadt Leipzig;WS;N;nein;POINT (317154.496037835 5696818.35550765);317154.496;5696818.356
46402299;Leipzig, Gohlis, B 2299/83;Messstellenbündel;316936.34;5695003.06;124.13;98.14;25.2;96.14;27.2;92.03;123.34;DHHN2016;1984;;;;;;DESN_SAL-GW-052;Kreisfreie Stadt Leipzig;WS;N;nein;POINT (316936.339850605 5695003.06033042);316936.3399;5695003.06
46402326;Leipzig, B 2326/83;Grundwasserbeobachtungsrohr;317226.39;5692529.92;112.49;75.6;35.98;71.6;39.98;68.6;111.58;DHHN2016;1984;;;;;;DESN_SAL-GW-052;Kreisfreie Stadt Leipzig;WS;J;ja;POINT (317226.389852749 5692529.92032969);317226.3899;5692529.92
46402637;Leipzig-Auewald, B 69/84;Grundwasserbeobachtungsrohr;315511.49;5687483.49;110.27;;;;;96.59;109.3;DHHN2016;1987;;1997;1997;;J;DESN_SAL-GW-059;Kreisfreie Stadt Leipzig;WS;N;nein;POINT (315511.489843891 5687483.49032823);315511.4898;5687483.49
4.64E+211;Leipzig-Schönefeld, B 1/01;Bohrbrunnen;320041.1556;5691924.164;117.85;111.99;5.1;107.99;9.1;107.99;117.09;DHHN92;2001;;;;;J;DESN_SAL-GW-052;Kreisfreie Stadt Leipzig;WS;J;ja;POINT (320041.605166334 5691923.8193844);320041.6052;5691923.819
46410001;Borsdorf;Schachtbrunnen;328705.5275;5691172.127;127.66;;;;;119.9;127.44;HN;1952;;;;;;DESN_SAL-GW-060;Landkreis Leipzig;WS;J;ja;POINT (328706.042806605 5691171.80612553);328706.0428;5691171.806
46410017;Sehlis;Grundwasserbeobachtungsrohr;329154.8697;5694485.488;132.16;117.16;14;115.16;16;114.16;131.16;DHHN92;;;2016;;Saale 1-Kaltzeit;;DESN_SAL-GW-060;Landkreis Nordsachsen;WS;J;ja;POINT (329155.378701492 5694485.16454802);329155.3787;5694485.165
46410041;Gerichshain;Schachtbrunnen;331911.3018;5691918.086;142.49;;;;;123.59;141.87;HN;1918;;;;;;DESN_SAL-GW-060;Landkreis Leipzig;WS;J;ja;POINT (331911.823950201 5691917.76561213);331911.824;5691917.766
46410074;Brandis;Schachtbrunnen;333331.79;5689140.27;138.98;;;;;133.42;138.98;DHHN2016;1918;;;;;;DESN_SAL-GW-060;Landkreis Leipzig;WS;J;ja;POINT (333331.789923088 5689140.27032868);333331.7899;5689140.27
46410428;Machern;Schachtbrunnen;335325.2199;5690970.059;165.49;;;;;153.49;165.05;DHHN92;1976;;;;;;DESN_VM-1-2-1;Landkreis Leipzig;WS;J;ja;POINT (335325.753747797 5690969.74088274);335325.7537;5690969.741
46410441;Albrechtshain,Faule Parthe, B 20441/67;Grundwasserbeobachtungsrohr;330749.7832;5686717.807;128.3;117.38;10;115.38;12;115.38;127.38;HN;1966;;1999;2004;;;DESN_SAL-GW-060;Landkreis Leipzig;WS;J;ja;POINT (330750.302866254 5686717.47951272);330750.3029;5686717.48
46410525;Machern,B 107(Nähe Lübschütz), B 525/94;Grundwasserbeobachtungsrohr;336608.057;5695070.89;118.37;103.87;13.82;98.87;18.82;98.87;117.69;DHHN92;1995;;1996;;Elster 2-Kaltzeit;;DESN_VM-1-2-1;Landkreis Leipzig;WS;J;ja;POINT (336608.05693251 5695070.89033045);336608.0569;5695070.89
46410660;Cunnersdorf;Schachtbrunnen;330341.3868;5693377.627;133.43;;;;;121.35;133.43;DHHN92;1923;;;;;;DESN_SAL-GW-060;Landkreis Leipzig;WS;N;nein;POINT (330341.902995203 5693377.30370504);330341.903;5693377.304
46411088;Zweenfurth;Schachtbrunnen;328831.33;5689645.5;124.7;;;;;121.68;124.7;DHHN2016;1927;;;;;;DESN_SAL-GW-060;Landkreis Leipzig;WS;N;nein;POINT (328831.329907277 5689645.50032879);328831.3299;5689645.5
46420001;Nischwitz, Vc/97;Grundwasserbeobachtungsrohr;341550.51;5696252.15;115.79;109.29;5.45;103.89;10.85;103.89;114.74;DHHN92;;;2007;;Weichselkaltzeit (Terrassen);;DESN_VM-1-2-1;Landkreis Leipzig;WS;J;ja;POINT (341550.50994546 5696252.15033086);341550.5099;5696252.15
46420002;Nischwitz, ICI1/95;Grundwasserbeobachtungsrohr;341419.97;5695906.66;114.85;109.35;4.54;102.25;11.64;102.25;113.89;DHHN92;;;2007;;Weichselkaltzeit (Terrassen);;DESN_VM-1-2-1;Landkreis Leipzig;WS;J;ja;POINT (341419.969945172 5695906.66033076);341419.9699;5695906.66
46420003;Canitz-Thallwitz,P 303/92;Grundwasserbeobachtungsrohr;340307.48;5695367.45;110.05;106.85;2.48;100.85;8.48;100.73;109.33;DHHN92;;;1998;;Weichselkaltzeit (Terrassen);;DESN_VM-1-2-1;Landkreis Leipzig;WS;J;ja;POINT (340307.479942468 5695367.45033059);340307.4799;5695367.45
46420004;Lüptitz, B 441/ 1997, unten;Grundwasserbeobachtungsrohr;344138.32;5695948.51;128.49;117.84;9.84;93.14;34.54;93.14;127.68;DHHN92;;;2017;;Frühpleistozän;N;DESN_VM-1-2-1;Landkreis Leipzig;WS;J;ja;POINT (344138.319951409 5695948.51033081);344138.32;5695948.51
46420526;Zschorna;Schachtbrunnen;347118.7816;5695561.135;143.9;;;;;139.45;143.86;DHHN92;1920;;;;;;DESN_VM-1-4;Landkreis Leipzig;WS;J;ja;POINT (347119.339612556 5695560.82394447);347119.3396;5695560.824
46420896;Dögnitz, 896;Schachtbrunnen;337906.976;5695588.19;109.04;;;;;104.68;108.72;DHHN92;1923;;;;;;DESN_VM-1-2-1;Landkreis Leipzig;WS;J;ja;POINT (337906.975936128 5695588.19033062);337906.9759;5695588.19
46420901;Lüptitz;Schachtbrunnen;345182.5992;5695947.515;140.18;;;;;124.61;139.66;HN;1923;;;;Elster 1-Kaltzeit;;DESN_VM-1-2-1;Landkreis Leipzig;WS;N;nein;POINT (345183.165286675 5695947.2196593);345183.1653;5695947.22
46421125;Grubnitz;Schachtbrunnen;339935.0429;5693903.879;110.16;;;;;106.52;110;DHHN92;1929;;;;;;DESN_VM-1-2-1;Landkreis Leipzig;WS;J;ja;POINT (339935.607766039 5693903.57180235);339935.6078;5693903.572
46421987;Burkhardshain;Schachtbrunnen;347223.1165;5688362.309;135.43;;;;;125.48;135.65;DHHN92;1981;;;;;;DESN_VM-1-2-1;Landkreis Leipzig;WS;J;ja;POINT (347223.683496461 5688361.98691905);347223.6835;5688361.987
46430003;Falkenhain;Grundwasserbeobachtungsrohr;352220.68;5696329.89;139.27;133.42;5;132.42;6;131.42;138.42;DHHN2016;;;2023;;;N;DESN_VM-1-4;Landkreis Leipzig;WS;J;ja;POINT (352220.679966491 5696329.89033105);352220.68;5696329.89
46430117;Luppa,GWM BW 2/93;Grundwasserbeobachtungsrohr;357948.3495;5690240.348;164.4;145.3;18.57;140.5;23.37;139.37;163.87;HN;;;1995;;Elster 2-Kaltzeit;;DESN_EL-2-5-6;Landkreis Nordsachsen;WS;J;ja;POINT (357948.923092786 5690240.05010814);357948.9231;5690240.05
46430531;Meltewitz;Schachtbrunnen;354723.2266;5692349.011;151.13;;;;;144.6;150.65;DHHN92;1920;;;;Elster 2-Kaltzeit;;DESN_VM-1-4;Landkreis Leipzig;WS;J;ja;POINT (354723.792468905 5692348.70953054);354723.7925;5692348.71
46431146;Luppa;Schachtbrunnen;357669.2438;5688757.843;148.73;;;;;144.28;148.37;HN;1929;;;;;;DESN_EL-2-5-6;Landkreis Nordsachsen;WS;N;nein;POINT (357669.817472043 5688757.53139031);357669.8175;5688757.531
46433598;Markschönstädt, B3.1/11/93;Grundwasserbeobachtungsrohr;352251.17;5690987.79;153.02;151.07;1.09;140.97;11.19;140.97;152.16;DHHN2016;1994;;;;Elster 2-Kaltzeit;J;DESN_VM-1-4;Landkreis Leipzig;WS;J;ja;POINT (352251.169966782 5690987.79032949);352251.17;5690987.79
46434009;Dahlen;Schachtbrunnen;360266.3187;5692118.29;159.37;;;;;141.47;159.37;HN;1969;;;;Elster 2-Kaltzeit;;DESN_EL-2-5-6;Landkreis Nordsachsen;WS;J;ja;POINT (360266.886548996 5692118.00302186);360266.8865;5692118.003
46436307;Börln, B 1/69;Messstellenbündel;357460.3206;5692453.088;157.37;142.02;14.5;140.52;16;140.52;156.52;DHHN92;1969;;;;Saale 1-Kaltzeit;;DESN_VM-1-4;Landkreis Nordsachsen;WS;J;ja;POINT (357460.890093865 5692452.79874881);357460.8901;5692452.799
46437001;Meltewitz, Knatewitz B2/07;Grundwasserbeobachtungsrohr;354935.809;5692523.161;148.69;138.54;9.2;136.54;11.2;136.54;147.74;DHHN92;;;2007;;nicht eindeutig bestimmbar (Anschnitt bzw. Ausdehnung über mehrere GWL-Komplexe);;DESN_VM-1-4;Landkreis Leipzig;WS;J;ja;POINT (354936.374543889 5692522.86505412);354936.3745;5692522.865
4643W0001;Kühren, HyKür1/01;Grundwasserbeobachtungsrohr;350376.1481;5690475.211;146.75;135.6;10.6;132.7;13.5;132.55;146.2;HN;;;1992;;Elster 2-Kaltzeit;;DESN_VM-1-2-1;Landkreis Leipzig;WS;J;ja;POINT (350376.71880441 5690474.90523973);350376.7188;5690474.905
46440002;Calbitz, HyCal 1/2007;Grundwasserbeobachtungsrohr;361220.88;5687865.98;138.86;132.96;5.01;130.66;7.31;130.66;137.97;DHHN2016;;;2008;;Saale 1-Kaltzeit;;DESN_EL-2-5-6;Landkreis Nordsachsen;WS;J;ja;POINT (361220.879978646 5687865.98032873);361220.88;5687865.98
46440004;Clanzschwitz;Grundwasserbeobachtungsrohr;371762.97;5689087.42;155.17;146.81;7.3;145.81;8.3;144.81;154.11;DHHN2016;;;2023;;;N;DESN_EL-2-5-6;Landkreis Nordsachsen;WS;J;ja;POINT (371762.969987683 5689087.42032926);371762.97;5689087.42
46440927;Bucha;Schachtbrunnen;363610.6585;5694992.926;143;;;;;137.03;142.43;DHHN92;1924;;;;;;DESN_EL-2-5-6;Landkreis Nordsachsen;WS;N;nein;POINT (363611.221484029 5694992.65971341);363611.2215;5694992.66
46441106;Collm;Schachtbrunnen;361851.0271;5685280.209;223.56;;;;;207.88;223.16;HN;1928;;;;;;DESN_EL-2-5-6;Landkreis Nordsachsen;WS;J;ja;POINT (361851.624533141 5685279.90891637);361851.6245;5685279.909
46441147;Kleinböhla;Schachtbrunnen;363107.33;5690122.12;134.24;;;;;129.66;134.04;DHHN2016;1930;;;;Elster 2-Kaltzeit;;DESN_EL-2-5-6;Landkreis Nordsachsen;WS;N;nein;POINT (363107.329980532 5690122.12032942);363107.33;5690122.12
4644E0536;Sörnewitz, HYPCv 1/2015;Grundwasserbeobachtungsrohr;367671.1;5692903.7;110.84;108.59;1.3;107.59;2.3;106.59;109.89;DHHN92;2017;;;;;;DESN_EL-2-5-6;Landkreis Nordsachsen;WS;J;ja;POINT (367671.099984579 5692903.70033031);367671.1;5692903.7
46450003;Jacobsthal, OE der AA, B1/97;Grundwasserbeobachtungsrohr;381791.229;5693598.524;95.72;87.72;6.89;81.71;12.9;81.71;94.61;HN;;;2007;;Saale 1-Kaltzeit;;DEBB_SE-4-2;Landkreis Meißen;WS;J;ja;POINT (381791.868239471 5693598.28548179);381791.8682;5693598.285
46450134;Bornitz;Schachtbrunnen;372795.1931;5685083.401;117.14;;;;;107.79;116.74;HN;1918;;;;Elster 2-Kaltzeit;;DESN_EL-2-5-6;Landkreis Nordsachsen;WS;J;ja;POINT (372795.822309989 5685083.12730488);372795.8223;5685083.127
46450664;Kreinitz;Schachtbrunnen;378744;5693081;94.17;;;;;86.17;94.17;NN;1923;;;;Elster 2-Kaltzeit;;DESN_EL-2-2;Landkreis Meißen;WS;N;nein;POINT (378743.999991623 5693081.00033054);378744;5693081
46451168;Großrügeln;Schachtbrunnen;376537.5845;5688401.667;110.7;;;;;107.18;110.28;NN;1930;;;;Elster 2-Kaltzeit;;DESN_EL-2-5-6;Landkreis Meißen;WS;J;ja;POINT (376538.227239298 5688401.40972513);376538.2272;5688401.41
46456434;Riesa-Fichtenberg,HyFibg 12/94;Grundwasserbeobachtungsrohr;379659.6461;5694001.964;97.72;83.72;13.2;81.72;15.2;81.72;96.92;HN;;;1999;;Saale 1-Kaltzeit;;DESN_EL-2-2;Landkreis Meißen;WS;J;ja;POINT (379660.285077116 5694001.72822825);379660.2851;5694001.728
46456436;Riesa-Fichtenberg, Jacobsthal, Jcl 5/91;Grundwasserbeobachtungsrohr;381000.3789;5694711.453;95.48;85.28;9.58;84.28;10.58;84.28;94.86;HN;;;1998;;Saale 1-Kaltzeit;;DEBB_SE-4-2;Landkreis Meißen;WS;J;ja;POINT (381001.014351256 5694711.22057011);381001.0144;5694711.221
46456438_1;Riesa-Fichtenberg,Jcl 6/93,oP;Grundwasserbeobachtungsrohr;381467.1265;5694980.482;95.84;87.34;7.5;85.34;9.5;85.34;94.84;HN;;;1998;;Saale 1-Kaltzeit;;DEBB_SE-4-2;Landkreis Meißen;WS;J;ja;POINT (381467.764610846 5694980.25358802);381467.7646;5694980.254
46456443_1;Gohlis,Hy Fibg 5/94 oP;Grundwasserbeobachtungsrohr;382847.199;5689894.444;96.53;87.23;7.9;85.23;9.9;85.23;95.13;HN;;;2006;;Saale 1-Kaltzeit;;DESN_EL-2-2;Landkreis Meißen;WS;J;ja;POINT (382847.847860363 5689894.21106566);382847.8479;5689894.211
46456443_2;Gohlis,Hy Fibg 5/94 uP;Grundwasserbeobachtungsrohr;382846.1593;5689893.486;96.23;67.43;27.7;65.43;29.7;65.43;95.13;HN;;;2006;;Saale 1-Kaltzeit;;DESN_EL-2-2;Landkreis Meißen;WS;J;ja;POINT (382846.808153369 5689893.25311568);382846.8082;5689893.253
46456446;Paußnitz, B 11/07;Grundwasserbeobachtungsrohr;376607.4973;5694894.467;92.67;83.57;8.1;81.57;10.1;81.57;91.67;DHHN92;;;2007;;Elster 2-Kaltzeit;;DESN_EL-2-5-6;Landkreis Meißen;WS;J;ja;POINT (376608.136079597 5694894.24619971);376608.1361;5694894.246
4645E4034;Riesa-Gröba, B 7/2017;Grundwasserbeobachtungsrohr;379189.13;5687013.36;103.8;96.2;6.8;95.2;7.8;94.19;103;DHHN2016;2017;;2018;;Elster 1-Kaltzeit;N;DESN_EL-2-5-6;Landkreis Meißen;WS;J;ja;POINT (379189.129991903 5687013.36032876);379189.13;5687013.36
46460002;Wülknitz, HYWükRi10u/1998;Grundwasserbeobachtungsrohr;387773.8115;5689948.922;99.03;88.3;9.7;86.73;11.27;85.3;98;HN;;;2007;;Weichselkaltzeit (Terrassen);;DESN_SE-3-1;Landkreis Meißen;WS;J;ja;POINT (387774.484382115 5689948.70463985);387774.4844;5689948.705
46460003;Wülknitz, HYWükRi 10o/1998;Grundwasserbeobachtungsrohr;387774.8103;5689948.881;99.13;91.93;6.07;89.93;8.07;89;98;HN;;;2007;;Weichselkaltzeit (Terrassen);;DESN_SE-3-1;Landkreis Meißen;WS;J;ja;POINT (387775.483185334 5689948.66376163);387775.4832;5689948.664
46460004;Wülknitz, HYPWükRi 7/1998;Grundwasserbeobachtungsrohr;391132.8144;5692061.484;109.38;97.28;11;95.28;13;94.28;108.28;HN;;;2007;;Elster 2-Kaltzeit;;DESN_SE-3-1;Landkreis Meißen;WS;J;ja;POINT (391133.488078597 5692061.26362035);391133.4881;5692061.264
46460005;Grödel, HyGdl 1/2007;Grundwasserbeobachtungsrohr;386215.4392;5685116.374;100.35;91.3;9.2;89.3;11.2;89.3;100.5;HN;;;2008;;Weichselkaltzeit (Terrassen);;DESN_EL-2-3;Landkreis Meißen;WS;J;ja;POINT (386216.108421609 5685116.1185375);386216.1084;5685116.119
46460006;Wülknitz, HyWükRi 34/11 OP;Grundwasserbeobachtungsrohr;387749.4101;5692009.272;96.9;92.98;4;88.98;8;87.98;96.98;DHHN92;;;2012;;Elster 2-Kaltzeit;;DESN_SE-3-1;Landkreis Meißen;WS;J;ja;POINT (387750.067866057 5692009.05512638);387750.0679;5692009.055
46460007;Wülknitz, Peritz, B6/2017;Grundwasserbeobachtungsrohr;389960.01;5689490.54;113.62;101;11.8;100;12.8;98.99;112.8;DHHN2016;2018;;2018;;Elster 1-Kaltzeit;;DESN_SE-3-1;Landkreis Meißen;WS;J;ja;POINT (389960.009995766 5689490.54032963);389960.01;5689490.54
46460259;Zeithain;Schachtbrunnen;384174.9936;5687525.967;99.72;;;;;89.72;99.22;NN;1919;;;;;;DESN_EL-2-2;Landkreis Meißen;WS;J;ja;POINT (384175.637247965 5687525.72613866);384175.6372;5687525.726
46460563;Colmnitz;Schachtbrunnen;390900.4868;5687754.012;118.31;;;;;114.71;117.96;NN;1922;;;;Saale 1-Kaltzeit;;DESN_SE-3-1;Landkreis Meißen;WS;N;nein;POINT (390901.168909456 5687753.78869168);390901.1689;5687753.789
46460564;Walda;Schachtbrunnen;395124.4705;5686519.177;109.52;;;;;103.62;109.22;HN;1923;;;;Elster 1-Kaltzeit;;DESN_SE-3-2;Landkreis Meißen;WS;J;ja;POINT (395125.163225467 5686518.9350994);395125.1632;5686518.935
46460565;Bauda;Schachtbrunnen;393436.4871;5687260.857;112.23;;;;;106.9;113.6;HN;1921;;;;Saale 1-Kaltzeit;;DESN_SE-3-1;Landkreis Meißen;WS;J;ja;POINT (393437.168209028 5687260.62171463);393437.1682;5687260.622
46460567;Frauenhain;Schachtbrunnen;393622.0427;5694096.254;98.3;;;;;90.32;98.11;HN;1922;;;;;;DESN_SE-2-1;Landkreis Meißen;WS;J;ja;POINT (393622.730526681 5694096.04346096);393622.7305;5694096.043
46466041;Lichtensee,Hy Fibg 4/94;Grundwasserbeobachtungsrohr;386267.3882;5692962.006;97.23;90.19;6;87.39;8.8;87.19;96.19;HN;;;1999;;Elster 2-Kaltzeit;;DESN_SE-3-1;Landkreis Meißen;WS;J;ja;POINT (386268.041707269 5692961.78834754);386268.0417;5692961.788
46466042;Zeithain, Jac1/93oP;Grundwasserbeobachtungsrohr;384293.3888;5691798.346;97.32;88.92;7.42;86.92;9.42;86.84;96.34;HN;2003;;1995;;Elster 2-Kaltzeit;J;DEBB_SE-4-2;Landkreis Meißen;WS;J;ja;POINT (384294.038858178 5691798.12372292);384294.0389;5691798.124
46466046_2;Gröditz,1/98 mP;Messstellenbündel;391954.1291;5694748.078;95.7;84.25;11.67;82.35;13.57;82.32;95.92;HN;;;1999;;Elster 2-Kaltzeit;;DESN_SE-3-1;Landkreis Meißen;WS;J;ja;POINT (391954.80773706 5694747.86966588);391954.8077;5694747.87
46466048;Tiefenau, Pegel 3 / B 169;Grundwasserbeobachtungsrohr;389656.4662;5694691.932;96.08;94.58;0.64;90.27;4.95;90.22;95.22;DHHN2016;2003;;;;;J;DESN_SE-3-1;Landkreis Meißen;WS;J;ja;POINT (389656.466226771 5694691.93208449);389656.4662;5694691.932
46466049;Görzig, B 6/07;Grundwasserbeobachtungsrohr;392301.1565;5690864.957;113.13;101.01;11.1;99.01;13.1;99.01;112.11;DHHN92;;;2007;;Elster 1-Kaltzeit;;DESN_SE-3-1;Landkreis Meißen;WS;J;ja;POINT (392301.853058123 5690864.73201145);392301.8531;5690864.732
46466050_1;Zeithain, Gewerbegebiet, Teninger Str., GWM 1_1/07;Grundwasserbeobachtungsrohr;384376.1121;5688548.442;98.01;90.17;8;87.22;10.95;87.17;98.17;HN;2017;;;;;J;DESN_EL-2-2;Landkreis Meißen;WS;N;nein;POINT (384376.752655813 5688548.20559245);384376.7527;5688548.206
4646E6001;Wildenhain;Grundwasserbeobachtungsrohr;391485.146;5685358.69;120.07;106.19;12.9;104.19;14.9;103.19;119.09;DHHN2016;2020;;2019;;Elster 1-Kaltzeit;N;DESN_SE-3-1;Landkreis Meißen;WS;J;ja;POINT (391485.145996179 5685358.69032843);391485.146;5685358.69
46470001;Brockwitz - Dornzigwiesen;Grundwasserbeobachtungsrohr;405631.5836;5685921.338;134.19;125.19;8.2;123.39;10;123.39;133.39;HN;2011;;2012;;Elster 2-Kaltzeit;;DESN_SE-3-2;Landkreis Meißen;WS;J;ja;POINT (405632.317864306 5685921.11219532);405632.3179;5685921.112
46470002;Uebigau, HyPZat 1/11-2004;Grundwasserbeobachtungsrohr;400144.84;5688635.28;119.67;114.07;4.61;106.23;12.45;106.18;118.68;HN;2018;;2018;;Saale 1-Kaltzeit;N;DESN_SE-3-2;Landkreis Meißen;WS;J;ja;POINT (400144.839997852 5688635.28032949);400144.84;5688635.28
46470003;Treugeböhla, HyPZat 1/10-2004;Grundwasserbeobachtungsrohr;396821.73;5691891.38;115.79;107.19;7.61;104.15;10.65;104.1;114.8;HN;;;2018;;Saale 1-Kaltzeit;N;DESN_SE-3-2;Landkreis Meißen;WS;J;ja;POINT (396821.729997288 5691891.38033041);396821.73;5691891.38
46470571;Oelsnitz;Schachtbrunnen;404621.3364;5690014.163;140.29;;;;;135.12;140.02;HN;1920;;;;Saale 1-Kaltzeit;J;DESN_SE-3-2;Landkreis Meißen;WS;J;ja;POINT (404621.336442326 5690014.16324154);404621.3364;5690014.163
46471515;Strauch;Schachtbrunnen;400535.2885;5691509.093;130.01;;;;;124.87;129.57;HN;1940;;;;Saale 1/2-Kaltzeit;;DESN_SE-3-2;Landkreis Meißen;WS;J;ja;POINT (400535.983098134 5691508.87938723);400535.9831;5691508.879
46476424;Großenhain 3, HyGn106/89;Grundwasserbeobachtungsrohr;398013.2833;5685882.898;120.28;104.3;15;100.3;19;98.8;119.3;HN;;;2006;;Elster 2-Kaltzeit;;DESN_SE-3-2;Landkreis Meißen;WS;J;ja;POINT (398013.995083642 5685882.66106616);398013.9951;5685882.661
46476448;Nasseböhla ;Grundwasserbeobachtungsrohr;396814;5687824;116.51;108.51;7.15;101.41;14.25;101.39;115.66;HN;2006;;;;;;DESN_SE-3-2;Landkreis Meißen;WS;N;nein;POINT (396813.999997304 5687824.00032921);396814;5687824
46480001;Böhla, Hy BlKz 1/2011;Grundwasserbeobachtungsrohr;415606.9362;5690378.296;123.01;110.04;12;108.04;14;107.04;122.04;DHHN92;2011;;2011;;Elster 2-Kaltzeit;;DESN_SE-2-1;Landkreis Meißen;WS;J;ja;POINT (415607.724694866 5690378.12572545);415607.7247;5690378.126
46491138;Cosel;Schachtbrunnen;426168;5692227;125.81;;;;;122.13;124.88;DHHN92;1930;;;;;;DESN_SE-2-2;Landkreis Bautzen;WS;J;ja;POINT (426167.999999736 5692227.00033073);426168;5692227
46500001;Großgrabe, Hy GrgbKa 1/2010;Grundwasserbeobachtungsrohr;432177.3596;5688282.192;145.52;140.16;4.5;138.16;6.5;137.16;144.66;DHHN92;2011;;2011;;Frühpleistozän;J;DESN_SE-2-2;Landkreis Bautzen;WS;J;ja;POINT (432178.158239219 5688282.0448759);432178.1582;5688282.045
46500576;Weißig;Schachtbrunnen;438741;5689016;157.06;;;;;153.66;156.55;DHHN2016;1922;;;;Elster 2-Kaltzeit;;DESN_SE-1-3-2;Landkreis Bautzen;WS;J;ja;POINT (438740.999999929 5689016.00032985);438741;5689016
46500578;Milstrich;Schachtbrunnen;441560;5686088;143.08;;;;;138.43;142.78;DHHN2016;1920;;;;;;DESN_SE-1-3-1;Landkreis Bautzen;WS;J;ja;POINT (441559.99999995 5686088.000329);441560;5686088
46501982;Großgrabe;Schachtbrunnen;431481;5688968;141.07;;;;;136.59;140.79;DHHN92;1949;;;;Elster 1-Kaltzeit;;DESN_SE-2-2;Landkreis Bautzen;WS;J;ja;POINT (431480.999999843 5688968.0003298);431481;5688968
46504027;Biehla;Schachtbrunnen;436773;5685726;164.93;;;;;160.56;164.18;DHHN2016;1974;;;;;;DESN_SE-1-3-2;Landkreis Bautzen;WS;N;nein;POINT (436772.99999991 5685726.00032888);436773;5685726
46506601;Schiedel, HY DOLKA 6/78;Grundwasserbeobachtungsrohr;440275.9638;5685019.494;145.03;139.73;3.77;137.4;6.1;136.4;143.5;HN;1983;;2017;2020;Weichselkaltzeit (Terrassen);J;DESN_SE-1-3-1;Landkreis Bautzen;WS;N;nein;POINT (440276.780714432 5685019.35176443);440276.7807;5685019.352
46510001;Sollschwitz;Grundwasserbeobachtungsrohr;444982.6;5689536.18;133.64;121.54;11.2;119.54;13.2;118.54;132.74;DHHN92;;;2016;;Saale 1-Kaltzeit;;DESN_SE-1-3-2;Landkreis Bautzen;WS;J;ja;POINT (444983.452204322 5689536.04781592);444983.4522;5689536.048
46510609;Cunnewitz;Schachtbrunnen;446546;5686020;137.31;;;;;133.81;136.71;DHHN2016;1923;;;;;;DESN_SE-1-2;Landkreis Bautzen;WS;J;ja;POINT (446545.999999973 5686020.000329);446546;5686020
46513565;Rachlau;Grundwasserbeobachtungsrohr;449778;5689350;129.36;;;;;112.45;128.68;DHHN2016;1913;;;;;;DESN_SE-1-2;Landkreis Bautzen;WS;N;nein;POINT (449777.999999983 5689350.00032999);449778;5689350
46516601_1;Döbra,Hy DoKa 4/78 oP;Messstellenbündel;443400;5686327;142.85;134.95;6.81;132.95;8.81;131.76;141.76;DHHN2016;2009;;2000;2020;Elster 1-Kaltzeit;J;DESN_SE-1-3-2;Landkreis Bautzen;WS;J;ja;POINT (443399.999999959 5686327.00032908);443400;5686327
46519001;Caminau, B 23/07;Grundwasserbeobachtungsrohr;453138.7898;5687133.563;135.21;130.56;3.6;129.56;4.6;129.56;134.16;DHHN92;2007;;2007;;Weichselkaltzeit (Terrassen);J;DESN_SE-1-2;Landkreis Bautzen;WS;N;nein;POINT (453139.652531146 5687133.39677936);453139.6525;5687133.397
